word;meaning
 kíri èri ;lower drying-rack
ọgọnọ erí ;upper drying-rack
 eri-erí ;in portions, parts
esínfàá ;fearless
érì;thread  
esín²;fear, compunction
ẹbẹ; that
ẹbẹ bara; that way 
ẹbẹ́ịn; (hit) across
ẹbẹ́ịn famụ;slap across
ẹbẹ́ kpọ;even if 
ẹdẹdẹí; fiddle about
ẹbẹẹrẹẹ́; light spear for combat
ẹbẹ́ịn²; Hippopotamus 
ẹdẹ́dẹ̀;medicinal grass good for the treatment of sores
ẹdẹfíṇà ;herb, used to heal sore or ulcer 
ẹdẹíṇ;knife
ẹdẹịn bọlọ́ụ; tip of knife
beké ẹ̀dẹịn;European-type knife
agbíạ-ẹdẹịn ;dagger
ẹdẹ́nghẹ̀íṇ;pupa stage of the wine-palm and oil-palm beetles 
ẹdẹ́ẹrẹwarị; favourable, comfortable situation
ẹdẹịnkịá;line scraped bald with razor, parting (of the hair on the head, with comb)
ẹfẹ́bụ̀á;cassava 
 ẹfẹ́fẹ̀íṇ;dwarf galago
ẹfẹ́n;in vain
ẹfẹ́rẹ-ẹfẹrẹ; scaly (of person, after a skin disease)
 ẹgẹlí;natural lump or bump on the head
indi ẹgẹ́rẹgẹ̀rẹ;fin of fish 
ẹfẹkẹ́;small mat woven with pínì and akaanlá
ẹfẹ́n-dìri; ringworm shrub, whose leaves are used in treating ringworm 
ẹfẹ́rẹ; slough, the cast skin of a snake  
ẹgbẹí; be worth,match,suit, be correct size, fit,suit (of clothes)
ẹgbẹnẹgbẹnẹ́; tiredness,weakness, cramp, numbness
ẹgẹ́ngẹẹ̀n;firefly, glow-worm
ẹgẹ́ngẹn; kind of water yam 
ẹgẹrẹgẹrẹ́;fin
ẹgẹrí;fruit of ịpáịn
ẹkẹlí;small basket ẹkẹnbaí ̣market-day
Ẹkẹn-láanghìḅaị;day before market-day
ẹgụ́lẹgụlẹ̀; bird, the African Pied Hornbill
ẹkẹ́kẹlẹ;potsherd, piece, of broken water- pot
Ẹkẹn-déinbàì;day after market-day 
ẹkẹnẹtẹ́;okro
ẹkẹrẹ́;fishing basket
ẹkẹrẹ imbí; fish with ẹkẹrẹ́
imbí ẹkẹrẹ;smaller size of fishing basket used by a single person
ẹkẹrẹ bụọ́;bow-legged
 ẹkpụ́-kiri-palì ̣;bird, the Black-and-White Mannikin 
ẹkụ́nrẹ̀íṇ ; frog which croaks loudly
ẹkpụ́;breast of bird or fowl, courage
 ẹlẹ́;. be tired, fatigued
ẹkụ́ẹkẹ̀; sieve for palmnuts and gravel 
ẹlẹ́bụ; be overloaded (of canoe, boat)
 árụ ẹlẹbụ ;(of canoe) be overloaded
ẹlẹ́lẹpan;wild pumpkin or snake-gourd, a climbing plant with yellow flowers whose fruit is used as sponge
 ẹlẹtẹíṇ;prolapse of the uterus
ẹmbụrụ-ẹmbụ́rụ;overburdened with sorrow or grief
 ẹmbụ́rụụ;overloaded
ẹmẹ́nẹ ọngọ; himself
ẹlẹmẹ́²;(not a) drop, crumb
ẹmẹ́nẹ¹;her own
 ẹmẹ́nẹ;about
ẹndẹẹ́¹;time span between delivery of different children (normally 2 children in 3 years)
 ẹngẹrẹpẹ́ẹ̀ ;smallish,fragmentary, mini 
 ẹngẹ́rị-ẹngẹrị ;skinny,bony, lean as a result of prolonged sickness 
 ẹngụ́-ẹngụ;sorrowful
ẹngẹ́dụ;Red-headed Malimbe
ẹngẹ́rẹ;broken piece, fragment (as of egg or snail)
ẹnịọ́; there
ẹpẹ́pẹ̀;fish, regarded as the oldest of fishes  
ẹpẹrẹ́ ; belch,burp
ẹpẹ́tẹ̀; mud, foolish person 
ẹpẹ́tì;small black flat frog 
 ẹpịnịpịní; thicket, dense growth of shrubs or trees
ẹrẹ́; name
ẹrẹ́ seimọ ; defame someone’s character
ebi ẹrẹ́ ;good name, reputation
 zoru ẹrẹ́ ;nickname
  ẹ́rụwẹ-ẹrụwẹ;stealthily,quietly
ẹ́rịdẹ̀ị;creeper used as medicine
 ẹsẹrí ̣; mat for collecting dust from sweeping  
ẹsịmẹíṇ;hesitate, delay action
ẹtẹ́tẹbụ̀rẹ́;bird, the Laughing Dove 
ẹtụ́;whitlow
ẹtụnwẹíṇ; very large heap of floating grass
ẹvẹvẹíṇ ;move about speedily and with all seriousness 
 ẹwẹ́ ;run in haste, especially when terrified
ẹvẹ́n;search eagerly or thoroughly 
ẹwẹrẹ́;small fish 
fáanla; twist,strangle, wring 
fakafaká ;describes how a fish struggles immediately it is brought out of water
fákii;almost at the tip, tail end 
